ACTION,RESOURCE,MGR_ID,ROLE_ROLLUP_1,ROLE_ROLLUP_2,ROLE_DEPTNAME,ROLE_TITLE,ROLE_FAMILY_DESC,ROLE_FAMILY,ROLE_CODE
1,3,55,21407,4424,72,3583,6896,10980,3583
1,30,10,21407,3945,159,81,12,1287,81
1,2,3,184,184,546,1256,33,2636,1256
1,1,62,21407,3945,190,4649,1244,10980,4649
1,8,9,276,138,45,75,19,362,75
0,5,2,74,73,179,1043,79,2636,1043
1,409,20,21407,3945,24,147,154,493,147
1,17,6,21407,397,325,23,6,783,23
1,4,30,21407,1295,42,201,225,384,201
1,13,1,221,221,1135,1256,27,2636,1256
1,839,12,21407,1295,102,1772,6896,10980,1772
1,16,12,742,253,82,224,12,412,224
1,5,12,498,267,28,289,7,465,289
1,839,20,721,721,296,197,324,449,197
1,2,13,21407,3945,601,4649,6896,10980,4649
1,17,1,184,184,50,806,530,2400,806
1,1,19,21407,1665,81,4649,6896,10980,4649
1,4,6,21407,971,37,152,1,241,152
1,3,10,21407,3945,159,196,30,10980,196
1,16,23,21407,1295,267,4649,6896,10980,4649
1,4,8,21407,4424,300,216,95,2690,216
1,26,25,21407,4424,366,3583,1244,10980,3583
1,1,26,21407,4424,525,566,665,1287,566
1,236,55,21407,4424,140,4649,6896,10980,4649
1,839,47,21407,1665,136,274,6896,10980,274
1,7,21,498,267,60,274,12,10980,274
1,6,10,21407,1665,84,3583,6896,10980,3583
1,8,4,56,21,13,384,2,2400,384
1,1,1,94,94,546,1043,1,2636,1043
1,11,23,21407,4424,157,63,8,2690,63
1,167,28,21407,3945,543,473,160,2690,473
1,3,8,21407,4424,183,3583,6896,10980,3583
1,23,4,742,253,103,91,21,689,91
1,84,9,21407,4424,75,172,9,2690,172
1,1,25,21407,3945,63,774,36,2400,774
1,30,16,282,209,659,394,10,1318,394
1,1,10,149,149,296,175,133,689,175
1,127,6,269,83,546,1043,161,2636,1043
1,32,44,21407,2641,211,135,34,941,135
1,220,34,21407,2547,115,73,31,783,73
1,91,9,276,138,597,1043,161,2636,1043
0,47,13,21407,4424,109,337,11,783,337
1,299,44,21407,4424,501,1772,29,10980,1772
1,12,47,21407,2641,138,566,5,1287,566
1,236,9,21407,1665,33,566,665,1287,566
1,295,6,21407,3945,54,34,12,493,34
1,2,10,21407,1295,102,1772,1244,10980,1772
1,7,32,21407,4424,45,54,116,783,54
1,2,62,21407,3945,190,289,246,465,289
1,34,8,234,151,1135,1256,333,2636,1256
1,13,4,21407,971,128,47,3,128,47
1,1,5,21407,1665,56,467,219,892,467
1,1,57,21407,1796,415,3583,6896,10980,3583
1,65,47,21407,1665,136,3583,66,10980,3583
1,409,18,21407,1567,210,274,199,10980,274
0,4,2,295,93,185,1043,1,2636,1043
1,24,45,21407,4424,525,1772,6896,10980,1772
1,54,47,21407,2641,138,288,16,783,288
1,3,5,21407,971,124,4649,6896,10980,4649
1,99,4,74,73,763,1256,351,2636,1256
1,14,5,400,67,431,165,670,2400,165
1,137,3,721,721,79,4649,6896,10980,4649
1,62,15,21407,397,115,21,12,98,21
1,48,7,269,83,597,1043,22,2636,1043
1,6,21,184,184,48,566,25,1287,566
1,1,5,21407,2547,73,342,211,1294,342
0,3,15,21407,1567,305,1772,6896,10980,1772
1,239,10,21407,4424,300,116,93,493,116
0,79,15,275,257,284,199,65,1318,199
1,65,1,112,185,24,329,3,1318,329
1,62,6,498,267,251,43,19,150,43
1,88,20,21407,2641,195,3583,6896,10980,3583
1,36,8,21407,3945,543,14,34,2690,14
1,17,5,129,129,763,806,11,2400,806
1,9,35,21407,1295,45,1772,1244,10980,1772
1,21,35,21407,2547,230,4649,282,10980,4649
1,167,27,21407,4424,129,467,95,892,467
1,4,9,39,39,1135,1043,79,2636,1043
1,3,5,21407,1665,54,7,5,1318,7
1,6,1,70,70,1,384,2,2400,384
1,2,29,21407,1567,96,40,15,10980,40
1,27,4,105,105,546,806,670,2400,806
1,404,29,21407,971,197,4649,6896,10980,4649
1,163,44,21407,2547,154,224,11,412,224
1,10,39,21407,3945,183,3583,1244,10980,3583
1,8,7,721,721,296,196,199,10980,196
1,404,33,21407,4424,300,216,160,2690,216
1,20,12,21407,1665,122,175,202,892,175
1,3,28,21407,2641,211,135,10,941,135
1,409,10,21407,1796,94,52,26,128,52
1,236,32,21407,1567,40,288,205,783,288
0,6,20,21407,1665,122,4649,6896,10980,4649
1,135,34,21407,1796,50,3583,6896,10980,3583
1,5,27,21407,1665,195,1772,39,10980,1772
1,6,15,282,209,296,238,13,689,238
1,20,24,721,721,296,3583,6896,10980,3583
1,9,46,21407,971,96,274,199,10980,274
1,6,22,21407,1796,90,4649,6896,10980,4649
1,15,14,190,190,91,394,25,1318,394
1,19,12,21407,1567,173,35,30,115,35
1,5,10,21407,2547,532,774,43,2400,774
1,3,17,21407,4424,148,342,96,1294,342
0,50,15,291,291,45,82,17,107,82
1,3,16,21407,1567,160,137,32,10980,137
1,1,16,21407,1295,278,4649,6896,10980,4649
1,4,23,21407,4424,162,4649,6896,10980,4649
1,4,20,21407,2641,41,288,205,783,288
1,16,8,21407,1796,73,566,665,1287,566
1,839,10,112,185,435,4649,6896,10980,4649
1,1,8,742,489,525,135,419,941,135
1,87,5,742,253,296,238,36,689,238
1,1,16,21407,1567,305,3583,6896,10980,3583
0,11,22,21407,1567,305,4649,6896,10980,4649
1,1,10,149,123,546,1256,530,2636,1256
1,12,152,21407,4424,525,521,419,941,521
1,21,12,57,57,140,45,133,689,45
1,99,4,118,50,763,1043,161,2636,1043
1,2,5,21407,6,25,384,18,2400,384
1,247,1,721,721,46,19,12,111,19
1,5,13,742,253,296,238,36,689,238
1,3,12,39,39,1135,1256,333,2636,1256
1,7,18,21407,3945,601,3583,1244,10980,3583
0,126,8,21407,1665,85,103,2,2690,103
1,14,28,21407,1295,125,3583,6896,10980,3583
1,2,45,21407,3945,525,4649,6896,10980,4649
1,157,6,94,94,102,376,39,2690,376
1,9,1,742,489,10,3583,6896,10980,3583
1,3,19,21407,4424,601,4649,1244,10980,4649
1,2,14,375,321,601,566,665,1287,566
1,1,7,21407,3945,28,4,3,9,4
1,129,5,498,231,23,597,665,1287,597
1,14,25,21407,4424,366,3583,1244,10980,3583
1,9,152,21407,4424,501,521,419,941,521
1,12,8,94,185,95,337,6,783,337
1,32,11,21407,2641,172,121,16,1294,121
1,30,54,21407,2641,60,288,205,783,288
1,2,57,21407,1796,415,3583,6896,10980,3583
1,9,24,21407,2641,231,288,96,783,288
1,45,9,742,489,267,5,1,49,5
1,1,9,334,334,179,147,8,493,147
1,10,22,498,231,107,4649,9,10980,4649
1,1,52,21407,971,111,30,225,384,30
1,2,6,498,267,91,4649,6896,10980,4649
1,4,6,742,489,532,38,29,941,38
1,8,5,21407,2641,95,4649,9,10980,4649
1,839,10,21407,1295,267,4649,6896,10980,4649
1,34,33,21407,2641,172,347,10,1294,347
1,404,33,21407,3945,128,160,93,2690,160
1,4,14,742,489,122,3583,6896,10980,3583
1,12,11,21407,2641,95,1772,39,10980,1772
1,62,9,498,267,60,3583,23,10980,3583
1,8,6,44,44,546,806,670,2400,806
1,3,21,21407,3945,183,3583,6896,10980,3583
1,2,14,21407,971,42,4649,6896,10980,4649
1,57,16,21407,181,75,110,81,1318,110
1,839,6,21407,2641,195,1772,13,10980,1772
0,2,17,160,84,292,342,211,1294,342
1,27,24,21407,2641,231,1772,6896,10980,1772
1,2,10,239,239,72,211,194,1294,211
0,91,1,21407,2641,2,7,1,78,7
1,1,18,21407,971,124,3583,6896,10980,3583
1,299,10,70,70,73,3583,14,10980,3583
1,1,11,21407,1295,125,4649,6896,10980,4649
1,5,20,742,489,325,30,225,384,30
1,16,21,21407,4424,300,110,68,2690,110
1,17,6,129,129,1135,1043,128,2636,1043
1,28,37,21407,4424,525,4649,6896,10980,4649
1,52,32,21407,2641,70,42,7,1287,42
1,115,43,21407,4424,169,337,6,783,337
1,409,45,742,253,103,82,20,107,82
